DBN,School,District,Borough,Schoolnum,ThreeELA,ThreeMath,FourELA,FourMath,FiveELA,FiveMath,SixELA,SixMath,SevenELA,SevenMath,EightELA,EightMath,AllGradeELA,AllGradeMath
29Q059,I.S. 059 SPRINGFIELD GARDENS,29,Queens,59,,,,,,,22.87,13.16,26.83,24.39,36.00,7.19,28.46,14.99
24Q061,I.S. 061 LEONARDO DA VINCI,24,Queens,61,,,,,,,22.03,23.84,23.56,23.08,25.03,8.53,23.62,18.77
31R061,I.S. 061 WILLIAM A MORRIS,31,Staten Island,61,,,,,,,20.62,15.94,25.41,8.95,31.35,3.70,26.01,9.79
18K068,I.S. 068 ISAAC BILDERSEE,18,Brooklyn,68,,,,,,,8.42,7.92,7.14,7.52,21.58,9.69,14.11,8.60
31R072,I.S. 072 ROCCO LAURIE,31,Staten Island,72,,,,,,,39.27,40.96,42.18,37.53,50.65,34.90,43.80,37.99
31R075,I.S. 075 FRANK D. PAULO,31,Staten Island,75,,,,,,,52.27,61.56,53.05,58.23,58.41,38.34,54.59,54.14
24Q077,I.S. 077,24,Queens,77,,,,,,,21.36,24.38,19.39,17.67,25.93,9.02,22.33,17.53
24Q093,I.S. 093 RIDGEWOOD,24,Queens,93,,,,,,,35.09,32.10,35.11,38.08,38.87,25.69,36.30,32.55
21K096,I.S. 096 SETH LOW,21,Brooklyn,96,,,,,,,27.11,31.55,23.21,27.32,39.11,35.32,30.02,31.44
09X117,I.S. 117 JOSEPH H. WADE,9,Bronx,117,,,,,,,4.44,2.78,9.90,7.04,15.51,0.00,10.50,3.65
24Q119,I.S. 119 THE GLENDALE,24,Queens,119,79.57,73.12,53.57,62.07,,,55.00,59.36,59.03,61.57,74.89,34.78,64.38,58.12
24Q125,I.S. 125 THOM J. MCCANN WOODSIDE,24,Queens,125,,,,,,,29.38,40.63,38.88,36.74,42.86,26.22,37.91,34.85
15K136,I.S. 136 CHARLES O. DEWEY,15,Brooklyn,136,,,,,,,11.19,12.08,10.64,7.28,24.12,11.11,15.86,10.21
30Q141,I.S. 141 THE STEINWAY,30,Queens,141,,,,,,,56.40,65.00,45.29,43.20,60.83,50.28,53.96,52.48
30Q145,I.S. 145 JOSEPH PULITZER,30,Queens,145,,,,,,,27.15,29.65,27.81,27.04,41.48,33.69,32.44,30.14
19K171,I.S. 171 ABRAHAM LINCOLN,19,Brooklyn,171,,,,,,,14.39,10.27,19.85,7.91,19.57,10.92,18.20,9.94
11X181,I.S. 181 PABLO CASALS,11,Bronx,181,,,,,,,29.14,38.74,39.53,33.59,51.34,42.11,39.46,38.12
29Q192,I.S. 192 THE LINDEN,29,Queens,192,,,,,,,13.60,10.48,20.10,15.87,18.67,0.67,17.98,9.75
30Q204,I.S. 204 OLIVER W. HOLMES,30,Queens,204,,,,,,,20.55,22.82,22.73,20.78,34.76,16.67,26.29,20.38
10X206,I.S. 206 ANN MERSEREAU,10,Bronx,206,,,,,,,7.84,16.98,13.64,16.18,10.42,3.85,10.80,10.67
18K211,I.S. 211 JOHN WILSON,18,Brooklyn,211,,,,,,,23.31,21.47,31.93,20.00,38.31,21.15,31.70,20.89
06M218,I.S. 218 SALOME URENA,6,Manhattan,218,,,,,,,7.89,2.04,18.31,7.41,12.79,2.11,13.85,4.00
09X219,I.S. 219 NEW VENTURE SCHOOL,9,Bronx,219,,,,,,,2.75,2.54,10.53,2.56,17.65,4.21,9.63,3.09
30Q227,I.S. 227 LOUIS ARMSTRONG,30,Queens,227,,,,,61.64,66.03,52.76,61.19,53.45,58.66,66.75,55.35,58.01,59.35
21K228,I.S. 228 DAVID A. BOODY,21,Brooklyn,228,,,,,,,39.69,41.12,35.66,39.69,41.30,24.34,38.55,36.29
